question,context,answer,keywords,category,intent,procedure
What is a silo?,cattle (beef and dairy),"The tall, cylinder-shaped farm structures known as silos are used to store silage, which is animal feed. Silage is moist feed made from green crops that ferment when stored in an airtight place. This fermentation process preserves the feed, which is used along with or instead of hay (dried grasses) to feed livestock (horses, cattle, sheep) during the winter when they cannot feed in green pastures. Silage gives farm animals needed nutrients. Before farmers started to raise food crops to feed their livestock (during the 18th century), they had to kill most of their animals when winter approached, because grass in pasturelands stopped growing and the animals faced starvation. But herds of livestock could be kept year-round once farmers began to grow crops for winter feed. Root crops like turnips, as well as leafy crops, were sometimes used. Today, corn is the crop most often used for silage.",silo,livestock keeping,curious to know more,False
Why are crops sprayed with pesticides?,crop damage prevention strategies,"Farmers and governments use chemical pesticides to protect crops from insect pests, weeds, and fungal diseases while they are growing. They also spray crops with pesticides to prevent rats, mice, and insects from contaminating foods while they are being stored. While these actions are meant to benefit human health and bring a wide variety of fruits and vegetables to the supermarket, they can also harm people, wildlife, and the environment. This is why there are strict controls in place over their sale and use.",pesticides,crop cultivation,curious to know more,False
What is organic farming?,organic food market trends,"While most large farms today use chemicals to control weeds and insects and to produce increased amounts of vegetables, milk, or eggs, some farmers have chosen to run their farms without chemicals. Organic farmers believe that the chemicals many farmers use can be damaging to the environment and to the people that eat the food grown on such farms. They feel that natural fertilizers and pest-control methods are just as effective and far healthier.

A British farmer and scientist named Albert Howard began the practice of organic farming as an alternative to modern chemical-based methods in the 1930s. His ideas have spread all over the world, taking hold in the United States in the late 1940s. A basic principle of organic farming is to focus on keeping the soil rich with nutrients by feeding it natural fertilizers such as cow manure. Such fertile soil can help create stronger plants that are better able to resist disease and insects. Organic farmers also prevent insect damage by putting up insect traps or by bringing in beneficial insects that feed on the harmful ones that are causing a problem. In extreme cases, they need to use pesticides, but to continue being certified as organic farmers in the United States, such farmers need to use botanical pesticides (those that are made from plants) rather than synthetic chemicals.",organic,crop cultivation,curious to know more,False
Does organic farming contribute to less pollution?,organic food market trends,"Yes. Organic farmers also try to do more tasks using human power rather than vehicles powered by fossil fuels, thereby using less fuel and cutting down on pollution. Organic farms that raise livestock such as dairy cows or chickens feed the animals with natural food, avoiding pollution-causing chemicals and growth hormones that make cows produce more milk and chickens produce more eggs. Some organic farmers also allow their animals to roam in a large area (such animals are described as “free range”) rather than keeping them in small, climate-controlled pens for their entire lives.","organic farming, pollution",crop cultivation,curious to know more,False
What is a fish farm?,fish (farmed),"Fish farms are businesses that produce a limited number of fish for sale in restaurants and supermarkets. The business is called aquaculture, which includes the farming of fish, shrimp, shellfish, and seaweed. Fish can be grown in natural waters—such as ponds, lakes, rivers, and streams—or artificial environments, including tanks, pools, and special cages. Fish species such as salmon, catfish, rainbow trout, tilapia, and cod are grown in fish farms. Fish farms around the world supply almost half of the world’s total food fish supply. The United States has fish farms in California, Idaho, Alabama, Arkansas, Louisiana, Mississippi, and along the southeastern U.S. coast. However, it imports about 80 percent of its seafood—and half of these imports come from fish farms in Asia and Latin America.",fish farm,livestock keeping,know what,False
Can farm animals be cloned?,sheep,"Yes. In 1997 a team of scientists at the Roslin Institute in Edinburgh, Scotland, announced the birth of Dolly the sheep, the first clone (identical copy) of an adult mammal. The process used to create Dolly, called somatic cell nuclear transfer, began with an egg cell from one sheep. The scientists destroyed that egg cell’s nucleus and then injected the nucleus from the cell of another sheep into the egg cell. With a little encouragement from electronic stimulation, the donated nucleus fused with the egg cell, and the new cell began to divide. The cluster of cells was then implanted into the uterus of the sheep that had provided the egg cell, and five months later Dolly was born—an exact replica not of the sheep that had carried her in the womb but of the sheep that had supplied the nucleus. While cloning mammals is controversial, some scientists argue that cloning farm animals has advantages to livestock farmers, who could use the technology to breed only high-quality animals that produce the most milk or the finest wool."," cloned, farm animals",livestock keeping,curious to know more,False
How can cows make so much milk?,cattle (beef and dairy),"A cow, like all mammals, produces milk to feed its young. If its calf nurses regularly, the mother cow’s mammary glands will produce enough milk to give the baby animal all the food it needs. Gradually a calf will nurse less as grass and other feed makes up more of its diet. A cow, in turn, will produce less milk until it is no longer needed.

But by milking the cows regularly—two or three times a day—dairy farmers can cause the cows to continue producing milk. Certain breeds of cows are particularly good at milk-making, producing 18 to 27 pints (around 2 to 3 gallons, or 10 to 15 liters) each day. A cow’s large, round udder, located on its underside, has four nipples, or teats, that are squeezed to release stored milk. While once done by hand, milking is done on modern dairy farms by machines with suction hoses, which do the job more quickly and cheaply. Trucks collect milk from farms and take it to processing plants where it is pasteurized (made germ-free) and used to make dairy products such as cheese, butter, and ice cream."," cows, milk",livestock keeping,know how,True
Why do cows stand around in fields eating all day?,cattle (beef and dairy),"In order to produce four or more gallons of milk each day, dairy cows have to eat a lot. Producing milk requires additional calories in the form of extra food. A large dairy cow may eat up to 150 pounds (about 68 kilograms) of grass each day, and that takes time.

Cows have special stomachs, too, that make eating a slow process. Instead of having one chamber like a human’s, a cow’s stomach has four chambers. When a cow takes a bite of grass it swallows it right away without chewing it. The food goes into the first chamber of its stomach, called the rumen (animals that have such stomachs are called ruminants), where it mixes with fluid to form a soft mass. The mushy grass is regurgitated or brought back up again later, when the cow is resting. This “cud” is thoroughly chewed, swallowed, and digested as it passes through all the other chambers of the stomach. A cow spends nearly nine hours each day chewing its cud. Scientists think that when animals like cows lived in the wild they had to snatch grass in a hurry before predators attacked them. Their special stomachs allowed them to store food for later chewing and digestion once they were hidden and out of danger. Goats, sheep, camels, and antelope are other examples of ruminants."," cows, milk",livestock keeping,know why,False
Why do horses sleep standing up?,horse,"Horses, which are often found on farms, sleep standing up for a number of reasons. Their legs can lock in place, enabling them to fall asleep without falling over. Because they are prey animals, horses often do not feel comfortable sleeping on the ground, and most of their sleeping is done during the day rather than at night when predators are out hunting. Horses have straight backs, so they cannot get up quickly. If a predator were to come while a horse was on the ground, it might not be able to get up fast enough to escape. However, horses do occasionally take short naps lying down during the day, which helps them rest their legs. When horses are in groups, they will often take turns guarding each other as they rest, with one horse standing up near the sleeping horse."," horses, sleep",livestock keeping,know why,False
Why are pigs so dirty?,pig,"Because pigs will eat almost anything, they have traditionally been fed farm leftovers and waste. This unappealing diet—commonly known as slop—may contain food waste from a farm household or the unusable by-products of the manufacturing processes for butter, cheese, and even beer brewing. Pigs are natural foragers, frequently using their snouts to dig up roots or grubs for food when they are in the wild. On farms they are fed from low troughs, but their big snouts and foraging habits still make them very messy eaters. Adding to the dirty reputation of pigs is the fact that they are usually kept in pens, or sties, close to farm buildings to make their feeding quick and easy. They—and their messes—have been confined to small spaces, unlike cows and sheep, which are traditionally free to roam pastureland. Because pigs are raised mainly for their meat and fat, they are given a lot of food and spend most of their time eating. Piglets that weigh only a few pounds at birth can reach more than 200 pounds (90 kilograms) in less than half a year.",pigs,livestock keeping,know why,False
How Much Caffeine in Tea?,tea,"So-called “real” Tea (in other words, NOT Herbal or Fruit Tisanes) comes from the Camellia sinensis plant. This is but one of around 60 plants to naturally contain caffeine, with others including Coffee (Coffea), Cocoa (Theobroma cacao) and Yerba Mate (Ilex paraguariensis). 

However, depending on the specific brew you choose, there will be varying caffeine levels in tea. This is because of its processing, which alters the chemical makeup of the leaves.

White Tea, the least processed variety, has about 15-mg per 8-oz cup. Next, there is Green Tea with 30-mg. Oolong Tea, on the other hand, contains approximately 35-37-mg, while Black Tea boasts 40-mg.","tea, caffeine",consumer questions,curious to know more,False
Does Green Tea Have Caffeine?,tea,"Yes. As mentioned previously, Green Tea Caffeine does, indeed, exist. Yet the level is less than that of, say, Black Tea. The reason for this is its processing.

Once harvested, the leaves arrive at the factory, at which point they undergo “pan-firing” or steaming to prevent too much oxidation. By stopping oxidation, green tea maintains much of its natural profile - which lacks significant amounts of caffeine.

Indeed, the more workers do to the Tea leaves, the more likely they will contain caffeine. And the more caffeine they contain, the more they will provide you with that early-morning energy boost.

Green Tea is an option when in need of a pick-me-up, although Black Tea, admittedly, might be a better choice.","green tea, caffeine",consumer questions,curious to know more,False
How Many Calories in a Cup of Tea?,tea,"It depends - although, for the most, it’s good news. When we’re talking about Calories in Tea, specifically those from the Camellia sinensis plant, expect no more than two calories per 8-oz serving.

When we’re talking about Herbal Tea or Fruit Tisanes, things get a little more complicated. Peppermint Tea, for example, has about 2.4 calories, while Hibiscus can have up to 37 calories.

Nevertheless, it is additions such as milk and sugar that contribute most to calorie intake in your morning cuppa. With semi-skimmed, you’re looking at around 13 calories. Whole milk, on the other hand, has about 19 calories. Two teaspoons of sugar, perhaps unsurprisingly, boasts 30 calories - or more!","cup of tea, calories",consumer questions,curious to know more,False
,,,,,,
How to Make Iced Tea?,tea,"There is no one answer to this question. However, here at The Kent and Sussex Tea and Coffee Company, we certainly have a few Iced Tea Recipes worth trying.

The following, which uses our ever-popular Bora Bora Iced Fruit Tea, is only one of many options - one, we hasten to add, that is unmistakably delicious.

1. Use a Tea Filter / Infuser

Put Bora Bora Iced Fruit Tea into one of our Tea Filters / Infusers (2tsp per person).

2. Boil the Kettle

Brew fresh water using either filtered or bottled water.

3. Put the Filter or Infuser into a jug, pitcher, etc.

Be sure to use a suitably large and heat-resistant vessel.

4. Pour freshly boiled water.

ONLY enough to cover the Loose Tea - no more.

5. Allow it to Infuse / Steep.

Let it steep for 5-10 minutes (the longer you leave it, the stronger it tastes.)

6. Add cold water and ice cubes.

Now’s the time to fill the vessel entirely.

7. Consider further additions - including fruit and herbs.

Strawberries, raspberries, sugar, honey or even a sprig of mint - the choice is yours!","iced tea, make",consumer questions,curious to know more,True
,cattle (beef and dairy),"Hello, I want to start producing some compost tea, and i need to prepare a small lab to do the direct microscopic count for bacteria and fungi?","compost tea , microscopic count for bacteria and fungi",general questions,know how,True
Does Tea Have More Caffeine Than Coffee?,tea,"This is where things start to get REALLY interesting. Because, contrary to belief, the amount of Caffeine in Coffee, specifically in dry form, is less than that in an equal weight of Tea.

Technically, this then means that, before brewing, there is more Caffeine in Tea than that in Coffee. Are you a little confused? Then please allow us to explain.

Basically, you can get more cuppas from a unit quantity of Tea leaves than from an equal quantity of Coffee. This results in the caffeine content in Tea “spreading out”, all the while the caffeine in Coffee remains more concentrated.

Only does this change upon brewing, at which point Coffee, with an average of 100-mg per 8-oz cup, has more caffeine than Tea.","tea, coffee",consumer questions,curious to know more,False
How to Make Ginger Tea?,tea,"Ginger (Zingiber officinale) is a spice with an unmistakably zesty flavour.

It is a member of the Zingiberaceae family, one that’s been familiar to the west for at least 2,000 years. Nowadays, we use ginger in a wide variety of household and commercial foods, including, of course, Tea. But how, exactly do you make it into a warming, nourishing brew? 

1. Use a Tea Filter / Infuser.

Add Ginger Tea to one of our Tea Accessories.

2. Put the Kettle on.

It’s time to boil some fresh water.

3. Add Filter or Infuser to your cup.

Place the Tea-filled accessory into a cup or mug.

4. Pour water into the cup.

Fill your cup and mug with the water from the kettle.

5. Allow it to Infuse / Steep.

Let it steep for 5-10 minutes (Herbal Tea rarely overbrews).",tea,consumer questions,curious to know more,True
Time to Indulge.,tea,"Why not add honey or lemon to your Ginger Root Tea? 
It sounds simple, doesn’t it? That’s because it is. Best of all, the same rules apply to almost every type of Herbal Tea.

One of the only exceptions, in fact, is Lapacho Tea. This particular beverage does, at times, require a little more preparation if you plan on making it traditionally.

Apart from that, though, the above instructions can be used for a variety of other products.",time to indulge,consumer questions,have fun,False
Can Dogs Drink Tea?,tea,"Now and again, we love to treat our pets to scraps under the table. Whether it’s the fat from a bacon rasher or surplus gravy, the occasional leftover rarely does any harm to our furry friends. But Is it safe for dogs to drink tea? 

Technically, yes - in small quantities. However, it hopefully goes without saying that your brew shouldn’t be hot. What’s more, and perhaps more importantly, the Caffeine in Tea could pose a risk to dogs if they drink too much. This is because caffeine elevates the heart rate, as well as having the potential to be toxic.

We have known of some dog owners giving their animals Herbal Tea - a particular favourite being that of Olive Leaf Tea.

Nevertheless, despite its lack of caffeine, there remain health concerns with this beverage and nearly every other type. If in doubt, it’s always best to consult a vet or another professional before giving your pets Tea of any variety.",tea,consumer questions,have fun,False
Is Peppermint Tea Good for You?,tea,"Peppermint Tea is another excellent choice for the health-conscious individual. Like Green Tea, it is jam-packed with vitamins, minerals and other antioxidants.

This includes Vitamins A, B, C and E, alpha-carotene, beta-carotene, calcium, copper, inositol, iodine, iron, magnesium, manganese, niacin, phosphorus, potassium, selenium, silicon, sulphur and zinc. And this is to name but a few! 

Evidence indicates that Peppermint Tea Benefits the mind, body and soul in a plethora of ways. It can, among other qualities, offer relief from irritable bowel syndrome (IBS), improve skin health and boost the immune system. And as for bad breath? There’s no better brew.",peppermint tea,consumer questions,clear a doubt,False
Is Tea a Diuretic?,tea,"Again, it depends on the type. But let’s first start at the beginning. The term “Diuretic” refers to promoting the formation of urine, which, in essence, enables someone to excrete excess water.

It sounds a little odd, but there are, indeed, benefits to it. People with high blood pressure, heart failure, swollen tissues and kidney disease often use diuretics as a treatment.

The four primary types of Tea (Black, Green, White and Oolong) can help. However, it’s worth noting that there are better options, namely Milk Thistle Tea and Dandelion Root Tea.

Both of these varieties, according to the latest scientific research, have extraordinary diuretic properties. Other choices include Nettle, Camomile, Peppermint, Ginger and Fennel Tea.","tea, diuretic",consumer questions,clear a doubt,False
Does Tea Dehydrate You?,tea,"Yes and no. It’s true, as mentioned above, that Tea is a diuretic. This, of course, means that you’ll likely be urinating more often after drinking a few cuppas, thus losing water.

That said, the vast percentage of your beverage IS water - which goes without saying, is hydrating! Does this then mean that one cancels out the other? Not exactly. Tea is more likely to hydrate than dehydrate.

When it comes to Herbal Tea, the lack of caffeine in most infusions (excluding Yerba Mate) again, for the most, translates to hydration. Even famously Diuretic Teas such as Milk Thistle Tea which will contribute to your daily water intake.","tea, dehydrate",consumer questions,clear a doubt,False
How to Make Green Tea?,tea,"Much of the same rules for making Black Tea apply when making Green Tea. However, there are a handful of significant differences to recognise before brewing up.

First and foremost, Green Tea requires an element of delicacy so as not to ruin its taste. But what, exactly, does this involve?

When you put the kettle on, be sure to let it cool to temperatures between 80 and 90°C. This is because pouring water straight from the boil can burn the Green Tea leaves.

As for steeping, you should be looking at AT LEAST 1 minute and NO MORE THAN 3 minutes. Any longer and you risk overbrewing, which creates an unpleasantly bitter taste.","make, green tea",consumer questions,know how,True
Is Tea Bad for You?,tea,"Tea, under certain circumstances, can come with adverse side effects. However, this most often depends on the health and wellbeing of the individual.

Drinking too much of it can, for instance, lead to jitteriness and sleeplessness due to its caffeine content. There have also been cases of it causing headaches, nervousness, vomiting, diarrhoea, irritability, irregular heartbeat and more.

Some types of Herbal Tea, meanwhile, can be a risk to those who are pregnant. Examples include Liquorice, Sage, Pine Needles and Vervain Tea to name but a few.

If you have any concerns, it’s paramount you speak to a doctor or another medical professional. Here at The Kent and Sussex Tea and Coffee Company, we care about the welfare of our customers.",tea,consumer questions,clear a doubt,False
"Hello everyone, is it possible to synthesize Activated Carbon from Waste Tea without putting sample under a nitrogen atmosphere."". Activated Carbon from Waste Tea”. Please see attached the method I would like to follow.",tea,,synthesize activated carbon from waste tea without putting sample under a nitrogen atmosphere,general questions,curious to know more,True
"Hello everyone, is it possible to synthesize Activated Carbon from Waste Tea without putting sample under a nitrogen atmosphere."". Activated Carbon from Waste Tea”. Please see attached the method I would like to follow.",tea,,synthesize activated carbon from waste tea without putting sample under a nitrogen atmosphere,general questions,curious to know more,True
What is High Tea?,tea,"We’ve all heard of Afternoon Tea - a quintessentially English pastime associated with ornate Teacups, delectable finger sandwiches and scrumptious miniature cakes. But what, then, is High Tea? And why have so few people today heard about it?

Enjoying a High Tea refers more to a social event than a specific type of Tea. It first became popular as an affordable option of the British working classes during the 18th and 19th centuries. During this period, it often consisted of “heavier” foods such as meat pies and boiled potatoes.

All of this, of course, was washed down by a strong cup of what we today might call Builder’s Tea. 

Rather than being a frivolous pastime like Afternoon Tea, a High Tea was a necessity. The upper classes indulged to avoid feeling peckish while simultaneously enjoying the company of friends.
A High Tea, in comparison, needed to feed the family. As such, you’re unlikely to see it on the menu when searching for an Afternoon Tea venue. Nevertheless, it has much to offer.",high tea,consumer questions,curious to know more,False
Where Does Tea Come From?,tea,"There are two answers to this question, depending on the context. If you’re referring to its botanical origins, the answer is simple: Tea comes from the Camellia sinensis plant.

If, however, you’re talking about where in the world Tea grows, it becomes a little broader. 

China is arguably the home of Tea, although it has since spread to other countries across the globe. Indeed, Tea production takes place in Japan, India, Sri Lanka, Vietnam, Thailand, Kenya, Tanzania, Malawi.

If you’re interested in trying infusions from different locations, be sure to browse our website to find the brew for you. ", tea,consumer questions,curious to know more,False
Does Green Tea Stain Teeth?,tea,"It can, yes. The primary reason for this is the Tannins in Tea. These are a class of astringent polyphenols that can, admittedly, contribute to teeth stains.

With Green Tea, in particular, it might leave behind a dull grey mark, while Black Tea creates a yellowish discolouration. But it’s not all bad news. Indeed, Tannins in Tea likewise have a part to play in Green Tea benefits.

Research has shown that tannins have antioxidant activity, meaning the pros far outweigh the cons. With Green Tea, an abundance in tannins called catechins, specifically Epigallocatechin gallate (EGCG), translates to improved cardiovascular health and reduced diabetes risks."," green tea, stain teeth",consumer questions,curious to know more,False
Is Black Tea Good for You?,tea,"EGCG in Green Tea is, perhaps, the most health-beneficial antioxidant of them all. Black Tea, meanwhile, contains theaflavin and thearubigin.

While “lesser” than the chemical compounds found in Green Tea, these two constituents still have great potential. Research suggests that they might, although not yet proven outright, reduce the risk of developing dementia and Alzheimer's disease.

Evidence exists in a study conducted by the University of Singapore and published in the American Journal of Clinical Nutrition. The project saw some 2,500 participants aged 55 or over undergo cognitive measuring. Two years later, scientists remeasured those involved.

The results established that participants who drank two or three cups of Black Tea a day had a 55% lower chance of suffering from cognitive decline. Those who drank six to ten cups a day, meanwhile, had up to a 63% lower chance.

So yes, is the answer, Black Tea Benefits appear promising.", black tea,consumer questions,clear a doubt,False
